"","type","ESG_risk_category","metric","ret","SE","low","high"
"45","-3","Low","AAR",-3.99637453651692e-05,0.000175833412293214,-0.000384597233459869,0.00030466974272953
"46","-3","Low","CAAR",-0.000485046976680076,0.000461686848387883,-0.00138995319952033,0.000419859246160173
"47","-3","Medium","AAR",0.000183344778182412,0.000174185083028385,-0.000158057984553222,0.000524747540918046
"48","-3","Medium","CAAR",0.000885240408105373,0.000490344036157676,-7.58339027636723e-05,0.00184631471897442
"49","-2","High","AAR",0.000666277648245015,0.000360534931481638,-4.03708174589941e-05,0.00137292611394902
"50","-2","High","CAAR",0.00355096709941787,0.00107237920617896,0.0014491038553071,0.00565283034352864
"51","-2","Low","AAR",-1.04311147857241e-05,0.000169746970938019,-0.000343135177824242,0.000322272948252793
"52","-2","Low","CAAR",-0.000495424918151102,0.000484340997075217,-0.00144473327241853,0.000453883436116324
"53","-2","Medium","AAR",0.000228742709607716,0.000178636034571438,-0.000121383918152302,0.000578869337367734
"54","-2","Medium","CAAR",0.00111391508509642,0.000519591453439738,9.55158363545314e-05,0.00213231433383831
"55","-1","High","AAR",0.000246769273123379,0.000408328312976356,-0.00055355422031028,0.00104709276655704
"56","-1","High","CAAR",0.00379670140690458,0.0011530390585561,0.00153674485213463,0.00605665796167453
"57","-1","Low","AAR",0.000338544097100374,0.000178796699601364,-1.18974341182991e-05,0.000688985628319047
"58","-1","Low","CAAR",-0.000156880821050728,0.000507613307153739,-0.00115180290307206,0.0008380412609706
"59","-1","Medium","AAR",4.79821588949857e-05,0.000184988353628382,-0.000314595014216642,0.000410559332006614
"60","-1","Medium","CAAR",0.0011618972439914,0.000547740086855171,8.83266737552689e-05,0.00223546781422754
"61","0","High","AAR",0.000776337448644536,0.00040894138700285,-2.5187669881049e-05,0.00157786256717012
"62","0","High","CAAR",0.00457303885554912,0.00122061192466293,0.00218063948320978,0.00696543822788845
"63","0","Low","AAR",0.000659136080627947,0.0001937497257306,0.000279386618195971,0.00103888554305992
"64","0","Low","CAAR",0.000502289648183324,0.000534648002344789,-0.000545620436412463,0.00155019973277911
"65","0","Medium","AAR",0.000622173693266118,0.000198896645247681,0.000232336268580663,0.00101201111795157
"66","0","Medium","CAAR",0.00178398164983387,0.00058112450290914,0.000644977624131955,0.00292298567553579
"67","+1","High","AAR",4.55760537407968e-05,0.000363719755019124,-0.000667314666096687,0.00075846677357828
"68","+1","High","CAAR",0.00461861490928991,0.00126774900597517,0.00213382685757859,0.00710340296100124
"69","+1","Low","AAR",-6.43854498496058e-05,0.000180374794634843,-0.000417920047333898,0.000289149147634686
"70","+1","Low","CAAR",0.000437904198333718,0.000555593862361733,-0.000651059771895278,0.00152686816856271
"71","+1","Medium","AAR",7.39900449414695e-05,0.000193835626576337,-0.00030592778314815,0.000453907873031089
"72","+1","Medium","CAAR",0.00185797169477534,0.000610461656690412,0.000661466847662134,0.00305447654188855
"73","+2","High","AAR",-0.000311550355565375,0.000355501577057496,-0.00100833344659807,0.000385232735467318
"74","+2","High","CAAR",0.00430706455372454,0.00130810305302409,0.00174318256979732,0.00687094653765176
"75","+2","Low","AAR",0.000129707477266353,0.000174595509910432,-0.000212499722158093,0.000471914676690799
"76","+2","Low","CAAR",0.000567611675600071,0.000575661677625395,-0.000560685212545704,0.00169590856374585
"77","+2","Medium","AAR",-0.000199177221646672,0.000174272261714185,-0.000540750854606474,0.000142396411313129
"78","+2","Medium","CAAR",0.00165879447312867,0.000634741594959291,0.000414700947008458,0.00290288799924888
"79","+3","High","AAR",-0.000615273815065263,0.000347632007343644,-0.00129663254945881,6.60849193282791e-05
"80","+3","High","CAAR",0.00369179073865928,0.00135149996157054,0.00104285081398102,0.00634073066333753
"81","+3","Low","AAR",-7.43079129166582e-05,0.000174503426701322,-0.00041633462925125,0.000267718803417934
"82","+3","Low","CAAR",0.000493303762683413,0.000593627617422294,-0.000670206367464284,0.00165681389283111
"83","+3","Medium","AAR",-2.37493359527852e-05,0.000169460166640086,-0.000355891262567353,0.000308392590661783
"84","+3","Medium","CAAR",0.00163504513717588,0.000653604321996205,0.00035398066606332,0.00291610960828844
