",""type"",""ESG_risk_category"",""metric"",""ret"",""SE"",""low"",""high"""
"95,""0"",""Low"",""AAR"",-0.00222566363401268,0.0010391027477222,-0.00414800371729875,-0.000303323550726605"
"96,""0"",""Low"",""CAAR"",-0.00845788797120581,0.00309729711893344,-0.0141878876412327,-0.00272788830117894"
"97,""0"",""Medium"",""Relative # events"",0.01,NA,NA,NA"
"98,""0"",""Medium"",""AAR"",-0.00119913146164288,0.000922292811288501,-0.0029053731625266,0.000507110239240849"
"99,""0"",""Medium"",""CAAR"",-0.0051584333360098,0.00238110743854706,-0.00956348209732186,-0.000753384574697749"
"100,""+1"",""High"",""Relative # events"",0.00405354669715508,NA,NA,NA"
"101,""+1"",""High"",""AAR"",0.00185065678732183,0.000985443728109556,2.75858903191536e-05,0.00367372768432451"
"102,""+1"",""High"",""CAAR"",-0.0038222877446937,0.00424063090668512,-0.0116674549220612,0.00402287943267377"
"103,""+1"",""Low"",""Relative # events"",0.00348165377618445,NA,NA,NA"
"104,""+1"",""Low"",""AAR"",-0.00158802567679115,0.0007976086009306,-0.00306360158851276,-0.000112449765069543"
"105,""+1"",""Low"",""CAAR"",-0.010045913647997,0.00317910584912171,-0.0159272594688721,-0.0041645678271218"
"106,""+1"",""Medium"",""Relative # events"",0.00420630169269661,NA,NA,NA"
"107,""+1"",""Medium"",""AAR"",0.00140606437015782,0.000666401293366793,0.000173221977429253,0.00263890676288639"
"108,""+1"",""Medium"",""CAAR"",-0.00375236896585199,0.00242404865032508,-0.00823685896895339,0.000732121037249419"
"109,""+2"",""High"",""Relative # events"",0.00270273671197508,NA,NA,NA"
"110,""+2"",""High"",""AAR"",0.00206476363914078,0.00111494541674064,2.11461817059642e-06,0.00412741266011096"
"111,""+2"",""High"",""CAAR"",-0.00175752410555293,0.0043895817203701,-0.00987825028823761,0.00636320207713176"
"112,""+2"",""Low"",""Relative # events"",0.00190233109625264,NA,NA,NA"
"113,""+2"",""Low"",""AAR"",-0.000684429152350403,0.000794286105353319,-0.00215385844725404,0.000785000142553238"
"114,""+2"",""Low"",""CAAR"",-0.0107303428003474,0.00327755387556811,-0.0167938174701484,-0.00466686813054636"
"115,""+2"",""Medium"",""Relative # events"",0.00253164327146084,NA,NA,NA"
"116,""+2"",""Medium"",""AAR"",0.000313155776067472,0.000772302527335535,-0.00111560389950327,0.00174191545163821"
"117,""+2"",""Medium"",""CAAR"",-0.00343921318978451,0.00240047533837162,-0.00788009256577201,0.00100166618620298"
"118,""+3"",""High"",""Relative # events"",0.00246433421939253,NA,NA,NA"
"119,""+3"",""High"",""AAR"",0.000178431153460863,0.00101999640267534,-0.00170856219148852,0.00206542449841025"
"120,""+3"",""High"",""CAAR"",-0.00157909295209206,0.00450932905313044,-0.00992135170038338,0.00676316579619925"
"121,""+3"",""Low"",""Relative # events"",0.00140030045718911,NA,NA,NA"
"122,""+3"",""Low"",""AAR"",-0.000533862456872086,0.000761485162539609,-0.00194261000757036,0.000874885093826191"
"123,""+3"",""Low"",""CAAR"",-0.0112642052572195,0.00331789755458002,-0.0174023157331925,-0.00512609478124642"
"124,""+3"",""Medium"",""Relative # events"",0.00196025995610516,NA,NA,NA"
"125,""+3"",""Medium"",""AAR"",-4.26684366450361e-07,0.000702618967680466,-0.00130027177457531,0.00129941840584241"
"126,""+3"",""Medium"",""CAAR"",-0.00350498530901289,0.0024170703913172,-0.00797656553294971,0.000966594914923926"
"127,""+4"",""High"",""Relative # events"",0.00219028094382268,NA,NA,NA"
"128,""+4"",""High"",""AAR"",-0.00222844929724998,0.000984760045240183,-0.00405025538094431,-0.000406643213555637"
"129,""+4"",""High"",""CAAR"",-0.00380754224934204,0.00465276356683479,-0.0124151548479864,0.00480007034930232"
"130,""+4"",""Low"",""Relative # events"",0.00175007757013014,NA,NA,NA"
"131,""+4"",""Low"",""AAR"",-0.00159833385023498,0.000845536155787628,-0.00316257573844209,-3.40919620278664e-05"
"132,""+4"",""Low"",""CAAR"",-0.0129415579579765,0.00330846069277815,-0.019062210239616,-0.00682090567633688"
"133,""+4"",""Medium"",""Relative # events"",0.00197779929111694,NA,NA,NA"
"134,""+4"",""Medium"",""AAR"",8.01741941844739e-05,0.000729286610127326,-0.00126900603455108,0.00142935442292003"
"135,""+4"",""Medium"",""CAAR"",-0.00342481111482842,0.00247382956486437,-0.00800139580982751,0.00115177358017067"
"136,""+5"",""High"",""Relative # events"",0.00212771114607643,NA,NA,NA"
"137,""+5"",""High"",""AAR"",-0.00144048403145583,0.000984574123775428,-0.00326194616044038,0.000380978097528708"
"138,""+5"",""High"",""CAAR"",-0.00524802628079787,0.00476759115199974,-0.0140680699119974,0.00357201735040165"
"139,""+5"",""Low"",""Relative # events"",0.00191075058706166,NA,NA,NA"
"140,""+5"",""Low"",""AAR"",-0.00147500994778464,0.000803848012019255,-0.00296212877002026,1.21088744509819e-05"
"141,""+5"",""Low"",""CAAR"",-0.0144165679057611,0.0034681762747152,-0.0208326940139842,-0.00800044179753799"
"142,""+5"",""Medium"",""Relative # events"",0.00185438116867541,NA,NA,NA"
"143,""+5"",""Medium"",""AAR"",-0.000198837009060065,0.000707480262996401,-0.00150767549560341,0.00111000147748328"
"144,""+5"",""Medium"",""CAAR"",-0.00362364812388848,0.00259711295114926,-0.00842830708351462,0.00118101083573765"
"145,""+6"",""High"",""Relative # events"",0.00252769675776615,NA,NA,NA"
"146,""+6"",""High"",""AAR"",-0.000699186815347626,0.00102198320667691,-0.0025898557476999,0.00119148211700465"
"147,""+6"",""High"",""CAAR"",-0.0059472130961455,0.00477504580998059,-0.0147810478446096,0.00288662165231858"
"148,""+6"",""Low"",""Relative # events"",0.00161612451546897,NA,NA,NA"
"149,""+6"",""Low"",""AAR"",-0.000116323007412649,0.000781215130345946,-0.00156157099855265,0.00132892498372735"
"150,""+6"",""Low"",""CAAR"",-0.0145304702346526,0.00354703250301873,-0.0210924803652373,-0.00796846010406799"
"151,""+6"",""Medium"",""Relative # events"",0.0018386084066911,NA,NA,NA"
"152,""+6"",""Medium"",""AAR"",0.000487294681169195,0.000722581191575139,-0.000849480523244813,0.0018240698855832"
"153,""+6"",""Medium"",""CAAR"",-0.00313635344271929,0.00268916079115152,-0.0081113009063496,0.00183859402091102"
"154,""+7"",""High"",""Relative # events"",0.00231973869691595,NA,NA,NA"
"155,""+7"",""High"",""AAR"",-2.12687552763564e-05,0.000958287684452086,-0.00179410097151272,0.00175156346096"
"156,""+7"",""High"",""CAAR"",-0.00596848185142185,0.00497860685977977,-0.0151789045420144,0.00324194083917072"
"157,""+7"",""Low"",""Relative # events"",0.0015586900585437,NA,NA,NA"
"158,""+7"",""Low"",""AAR"",0.00019611043762459,0.000892014708370423,-0.00145411677286069,0.00184633764810987"
"159,""+7"",""Low"",""CAAR"",-0.0143477498370851,0.00366574979109762,-0.0211293869506157,-0.00756611272355452"
"160,""+7"",""Medium"",""Relative # events"",0.00175836407288292,NA,NA,NA"
"161,""+7"",""Medium"",""AAR"",-0.00048350448669951,0.000638061477917233,-0.00166391822084639,0.00069690924744737"
"162,""+7"",""Medium"",""CAAR"",-0.00369906284676886,0.00271214041737918,-0.00871652261892035,0.00131839692538262"
"163,""+8"",""High"",""Relative # events"",0.00204933429634032,NA,NA,NA"
"164,""+8"",""High"",""AAR"",0.00108025681753685,0.00113556809324357,-0.00102054415496375,0.00318105779003745"
"165,""+8"",""High"",""CAAR"",-0.00488822503388501,0.00509280450471768,-0.0143099133676127,0.0045334632998427"
"166,""+8"",""Low"",""Relative # events"",0.00149938604827862,NA,NA,NA"
"167,""+8"",""Low"",""AAR"",-0.00157730917495703,0.00104234083897482,-0.00350563972706044,0.000351021377146392"
"168,""+8"",""Low"",""CAAR"",-0.0159250590120421,0.00377087332137591,-0.0229011746565876,-0.00894894336749671"
"169,""+8"",""Medium"",""Relative # events"",0.00217544541674863,NA,NA,NA"
"170,""+8"",""Medium"",""AAR"",-0.00108681730995163,0.000684849822916822,-0.00235378948234775,0.000180154862444487"
"171,""+8"",""Medium"",""CAAR"",-0.0047858801567205,0.00280685343139938,-0.00997855900480934,0.00040679869136835"
"172,""+9"",""High"",""Relative # events"",0.0022242557792117,NA,NA,NA"
